code,favela_name,favela_address,upp,controlling_faction_2019,type,controlling_faction_2013,detail_controlling_faction_2013,controlling_faction_2009,controlling_faction_2008,controlling_faction_2007,controlling_faction_2006,controlling_faction_2005,social_progress_index
1,LADEIRA DOS FUNCIONARIOS,RUA CARLOS SEIDL 1281 - CAJU - COMPLEXO LADEIRA DOS FUNCIONÁRIOS,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.541
2,MOREIRA PINTO,RUA MOREIRA PINTO - SANTO CRISTO,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.536
3,MORRO DA PROVIDENCIA,RUA EBROINO URUGUAI 140 - GAMBOA - COMPLEXO PROVIDÊNCIA,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.532
4,PARQUE BOA ESPERANCA (RA-PORTUARIA),RUA CARLOS SEIDL 1388 - CAJU - ,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.538
5,PARQUE NOSSA SENHORA DA PENHA,RUA CARLOS SEIDL - 6 - CAJU,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.57
6,PARQUE SAO SEBASTIAO,RUA CARLOS SEIDL 1333 - CAJU - COMPLEXO LADEIRA DOS FUNCIONÁRIOS,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.529
7,PEDRA LISA,RUA REGO BARROS 97 - GAMBOA - COMPLEXO DA PROVIDENCIA,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.529
8,QUINTA DO CAJU,RUA GENERAL GURJÃO - CAJU,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.558
9,BISPO,RUA DO BISPO 117 - RIO COMPRIDO - COMPLEXO DO TURANO,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.547
10,MATINHA,RUA AURELIANO PORTUGAL 220 - RIO COMPRIDO - COMPLEXO DO TURANO,1,UPP,,UPP,WITH DRUG TRAFFICKING,CV,CV,CV,CV,CV,0.54
11,AZEVEDO LIMA,RUA AZEVEDO LIMA 108 A - RIO COMPRIDO - COMPLEXO DO SÃO CARLOS,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.54
12,SAO CARLOS,RUA FREI CANECA 40 - ESTÁCIO - COMPLEXO DE SÃO CARLOS,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.535
13,CATUMBI,RUA VAN ERVEN 132 - COMPLEXO CATUMBI,1,ADA,,ADA,ARMED,ADA,ADA,ADA,ADA,ADA,0.543
14,MORRO DO ESCONDIDINHO,RUA BARÃO DE PETRÓPOLIS 728 - SANTA TRERESA - COMPLEXO MORRO DOS PARAZERES,1,CV,,CV,ARMED,CV,CV,CV,CV,CV,0.549
15,MORRO SANTOS RODRIGUES,RUA ITAPIRU 760 - RIO COMPRIDO - COMPLEXO DO CATUMBI,1,ADA,,ADA,ARMED,CV,CV,CV,CV,CV,0.534
16,PARQUE REBOUCAS,RUA SANTA ALEXANDRINA 1135 - RIO COMPRIDO - COMPLEXO VILA SANTA ALEXANDRINA,1,CV,,CV,UNARMED,CV,CV,CV,CV,CV,
